ID,Name,Designator,Quantity,Link
1,TL074,IC1,1,
2,IC Socket 14,,1,
3,B100K Dual Gang T18 Shaft,P1,1,https://www.thonk.co.uk/shop/befaco-parts/
4,2PS - Medium Pointer (T18 Shaft),,1,https://www.thonk.co.uk/shop/make-noise-mutable-style-knobs/
5,"Thonkicon 3,5mm","J2,J1",2,https://www.thonk.co.uk/shop/thonkiconn/
6,10pF ceramic,"C5,C4,C3,C6",4,
7,100n ceramic,"C22,C23",2,
8,2N3904(TO-92),"Q2,Q1",2,
9,2x5 Male Pin Header 2.54mm,,1,
10,2x3 Male Pin Header 2.54mm,U1,1,
11,FERRITE,"F+,F-",2,
12,100K,"R5,R1,R2,R12",4,
13,1K,"R16,R6,R7,R3,R15,R4",6,
14,39K,"R8,R9",2,
15,10K,"R11,R13,R10,R14",4,
16,1N5817,"D6,D5",2,
17,LED green 3mm,"LED1,LED2",2,
18,10u Capacitor Electrolytic,"C1,C20,C13,C2",4,
19,1N4148,"D2,D3,D1,D4",4,
20,1x8 Male Pin Header 2.54mm,,2,
21,1x8 Female Pin Header 2.54mm,,2,
